penguin_id,species_id,year,island,sex,bill_length_mm,bill_depth_mm,flipper_length_mm,body_mass_g
39,1,2007,Dream,female,37.6,19.3,181,3300
40,1,2007,Dream,male,39.8,19.1,184,4650
41,1,2007,Dream,female,36.5,18,182,3150
42,1,2007,Dream,male,40.8,18.4,195,3900
43,1,2007,Dream,female,36,18.5,186,3100
44,1,2007,Dream,male,44.1,19.7,196,4400
45,1,2007,Dream,female,37,16.9,185,3000
46,1,2007,Dream,male,39.6,18.8,190,4600
47,1,2007,Dream,male,41.1,19,182,3425
48,1,2007,Dream,NA,37.5,18.9,179,2975
49,1,2007,Dream,female,36,17.9,190,3450
50,1,2007,Dream,male,42.3,21.2,191,4150
51,1,2008,Biscoe,female,39.6,17.7,186,3500
52,1,2008,Biscoe,male,40.1,18.9,188,4300
53,1,2008,Biscoe,female,35,17.9,190,3450
54,1,2008,Biscoe,male,42,19.5,200,4050
55,1,2008,Biscoe,female,34.5,18.1,187,2900
56,1,2008,Biscoe,male,41.4,18.6,191,3700
57,1,2008,Biscoe,female,39,17.5,186,3550
58,1,2008,Biscoe,male,40.6,18.8,193,3800
59,1,2008,Biscoe,female,36.5,16.6,181,2850
60,1,2008,Biscoe,male,37.6,19.1,194,3750
61,1,2008,Biscoe,female,35.7,16.9,185,3150
62,1,2008,Biscoe,male,41.3,21.1,195,4400
63,1,2008,Biscoe,female,37.6,17,185,3600
64,1,2008,Biscoe,male,41.1,18.2,192,4050
65,1,2008,Biscoe,female,36.4,17.1,184,2850
66,1,2008,Biscoe,male,41.6,18,192,3950
67,1,2008,Biscoe,female,35.5,16.2,195,3350
68,1,2008,Biscoe,male,41.1,19.1,188,4100
69,1,2008,Torgersen,female,35.9,16.6,190,3050
70,1,2008,Torgersen,male,41.8,19.4,198,4450
71,1,2008,Torgersen,female,33.5,19,190,3600
72,1,2008,Torgersen,male,39.7,18.4,190,3900
73,1,2008,Torgersen,female,39.6,17.2,196,3550
74,1,2008,Torgersen,male,45.8,18.9,197,4150
75,1,2008,Torgersen,female,35.5,17.5,190,3700
76,1,2008,Torgersen,male,42.8,18.5,195,4250
77,1,2008,Torgersen,female,40.9,16.8,191,3700
78,1,2008,Torgersen,male,37.2,19.4,184,3900
79,1,2008,Torgersen,female,36.2,16.1,187,3550
80,1,2008,Torgersen,male,42.1,19.1,195,4000
81,1,2008,Torgersen,female,34.6,17.2,189,3200
82,1,2008,Torgersen,male,42.9,17.6,196,4700
83,1,2008,Torgersen,female,36.7,18.8,187,3800
84,1,2008,Torgersen,male,35.1,19.4,193,4200
85,1,2008,Dream,female,37.3,17.8,191,3350
86,1,2008,Dream,male,41.3,20.3,194,3550
87,1,2008,Dream,male,36.3,19.5,190,3800
88,1,2008,Dream,female,36.9,18.6,189,3500
89,1,2008,Dream,male,38.3,19.2,189,3950
90,1,2008,Dream,female,38.9,18.8,190,3600
91,1,2008,Dream,female,35.7,18,202,3550
92,1,2008,Dream,male,41.1,18.1,205,4300
93,1,2008,Dream,female,34,17.1,185,3400
94,1,2008,Dream,male,39.6,18.1,186,4450
95,1,2008,Dream,female,36.2,17.3,187,3300
96,1,2008,Dream,male,40.8,18.9,208,4300
97,1,2008,Dream,female,38.1,18.6,190,3700
98,1,2008,Dream,male,40.3,18.5,196,4350
99,1,2008,Dream,female,33.1,16.1,178,2900
100,1,2008,Dream,male,43.2,18.5,192,4100
101,1,2009,Biscoe,female,35,17.9,192,3725
102,1,2009,Biscoe,male,41,20,203,4725
103,1,2009,Biscoe,female,37.7,16,183,3075
104,1,2009,Biscoe,male,37.8,20,190,4250
105,1,2009,Biscoe,female,37.9,18.6,193,2925
106,1,2009,Biscoe,male,39.7,18.9,184,3550
107,1,2009,Biscoe,female,38.6,17.2,199,3750
108,1,2009,Biscoe,male,38.2,20,190,3900
109,1,2009,Biscoe,female,38.1,17,181,3175
110,1,2009,Biscoe,male,43.2,19,197,4775
111,1,2009,Biscoe,female,38.1,16.5,198,3825
112,1,2009,Biscoe,male,45.6,20.3,191,4600
113,1,2009,Biscoe,female,39.7,17.7,193,3200
114,1,2009,Biscoe,male,42.2,19.5,197,4275
115,1,2009,Biscoe,female,39.6,20.7,191,3900
116,1,2009,Biscoe,male,42.7,18.3,196,4075
117,1,2009,Torgersen,female,38.6,17,188,2900
118,1,2009,Torgersen,male,37.3,20.5,199,3775
119,1,2009,Torgersen,female,35.7,17,189,3350
120,1,2009,Torgersen,male,41.1,18.6,189,3325
121,1,2009,Torgersen,female,36.2,17.2,187,3150
122,1,2009,Torgersen,male,37.7,19.8,198,3500
123,1,2009,Torgersen,female,40.2,17,176,3450
124,1,2009,Torgersen,male,41.4,18.5,202,3875
125,1,2009,Torgersen,female,35.2,15.9,186,3050
126,1,2009,Torgersen,male,40.6,19,199,4000
127,1,2009,Torgersen,female,38.8,17.6,191,3275
128,1,2009,Torgersen,male,41.5,18.3,195,4300
129,1,2009,Torgersen,female,39,17.1,191,3050
130,1,2009,Torgersen,male,44.1,18,210,4000
131,1,2009,Torgersen,female,38.5,17.9,190,3325
132,1,2009,Torgersen,male,43.1,19.2,197,3500
133,1,2009,Dream,female,36.8,18.5,193,3500
134,1,2009,Dream,male,37.5,18.5,199,4475
135,1,2009,Dream,female,38.1,17.6,187,3425
136,1,2009,Dream,male,41.1,17.5,190,3900
137,1,2009,Dream,female,35.6,17.5,191,3175
138,1,2009,Dream,male,40.2,20.1,200,3975
139,1,2009,Dream,female,37,16.5,185,3400
140,1,2009,Dream,male,39.7,17.9,193,4250
141,1,2009,Dream,female,40.2,17.1,193,3400
142,1,2009,Dream,male,40.6,17.2,187,3475
143,1,2009,Dream,female,32.1,15.5,188,3050
144,1,2009,Dream,male,40.7,17,190,3725
145,1,2009,Dream,female,37.3,16.8,192,3000
146,1,2009,Dream,male,39,18.7,185,3650
147,1,2009,Dream,male,39.2,18.6,190,4250
148,1,2009,Dream,female,36.6,18.4,184,3475
149,1,2009,Dream,female,36,17.8,195,3450
150,1,2009,Dream,male,37.8,18.1,193,3750
151,1,2009,Dream,female,36,17.1,187,3700
152,1,2009,Dream,male,41.5,18.5,201,4000
153,2,2007,Biscoe,female,46.1,13.2,211,4500
154,2,2007,Biscoe,male,50,16.3,230,5700
155,2,2007,Biscoe,female,48.7,14.1,210,4450
156,2,2007,Biscoe,male,50,15.2,218,5700
157,2,2007,Biscoe,male,47.6,14.5,215,5400
158,2,2007,Biscoe,female,46.5,13.5,210,4550
159,2,2007,Biscoe,female,45.4,14.6,211,4800
160,2,2007,Biscoe,male,46.7,15.3,219,5200
161,2,2007,Biscoe,female,43.3,13.4,209,4400
162,2,2007,Biscoe,male,46.8,15.4,215,5150
163,2,2007,Biscoe,female,40.9,13.7,214,4650
164,2,2007,Biscoe,male,49,16.1,216,5550
165,2,2007,Biscoe,female,45.5,13.7,214,4650
166,2,2007,Biscoe,male,48.4,14.6,213,5850
167,2,2007,Biscoe,female,45.8,14.6,210,4200
168,2,2007,Biscoe,male,49.3,15.7,217,5850
169,2,2007,Biscoe,female,42,13.5,210,4150
170,2,2007,Biscoe,male,49.2,15.2,221,6300
171,2,2007,Biscoe,female,46.2,14.5,209,4800
172,2,2007,Biscoe,male,48.7,15.1,222,5350
173,2,2007,Biscoe,male,50.2,14.3,218,5700
174,2,2007,Biscoe,female,45.1,14.5,215,5000
175,2,2007,Biscoe,female,46.5,14.5,213,4400
176,2,2007,Biscoe,male,46.3,15.8,215,5050
177,2,2007,Biscoe,female,42.9,13.1,215,5000
178,2,2007,Biscoe,male,46.1,15.1,215,5100
179,2,2007,Biscoe,NA,44.5,14.3,216,4100
180,2,2007,Biscoe,male,47.8,15,215,5650
181,2,2007,Biscoe,female,48.2,14.3,210,4600
182,2,2007,Biscoe,male,50,15.3,220,5550
183,2,2007,Biscoe,male,47.3,15.3,222,5250
184,2,2007,Biscoe,female,42.8,14.2,209,4700
185,2,2007,Biscoe,female,45.1,14.5,207,5050
186,2,2007,Biscoe,male,59.6,17,230,6050
187,2,2008,Biscoe,female,49.1,14.8,220,5150
188,2,2008,Biscoe,male,48.4,16.3,220,5400
189,2,2008,Biscoe,female,42.6,13.7,213,4950
190,2,2008,Biscoe,male,44.4,17.3,219,5250
191,2,2008,Biscoe,female,44,13.6,208,4350
192,2,2008,Biscoe,male,48.7,15.7,208,5350
193,2,2008,Biscoe,female,42.7,13.7,208,3950
194,2,2008,Biscoe,male,49.6,16,225,5700
195,2,2008,Biscoe,female,45.3,13.7,210,4300
196,2,2008,Biscoe,male,49.6,15,216,4750
197,2,2008,Biscoe,male,50.5,15.9,222,5550
198,2,2008,Biscoe,female,43.6,13.9,217,4900
199,2,2008,Biscoe,female,45.5,13.9,210,4200
200,2,2008,Biscoe,male,50.5,15.9,225,5400
201,2,2008,Biscoe,female,44.9,13.3,213,5100
202,2,2008,Biscoe,male,45.2,15.8,215,5300
203,2,2008,Biscoe,female,46.6,14.2,210,4850
204,2,2008,Biscoe,male,48.5,14.1,220,5300
205,2,2008,Biscoe,female,45.1,14.4,210,4400
206,2,2008,Biscoe,male,50.1,15,225,5000
207,2,2008,Biscoe,female,46.5,14.4,217,4900
208,2,2008,Biscoe,male,45,15.4,220,5050
209,2,2008,Biscoe,female,43.8,13.9,208,4300
210,2,2008,Biscoe,male,45.5,15,220,5000
211,2,2008,Biscoe,female,43.2,14.5,208,4450
212,2,2008,Biscoe,male,50.4,15.3,224,5550
213,2,2008,Biscoe,female,45.3,13.8,208,4200
214,2,2008,Biscoe,male,46.2,14.9,221,5300
215,2,2008,Biscoe,female,45.7,13.9,214,4400
216,2,2008,Biscoe,male,54.3,15.7,231,5650
217,2,2008,Biscoe,female,45.8,14.2,219,4700
218,2,2008,Biscoe,male,49.8,16.8,230,5700
219,2,2008,Biscoe,NA,46.2,14.4,214,4650
220,2,2008,Biscoe,male,49.5,16.2,229,5800
221,2,2008,Biscoe,female,43.5,14.2,220,4700
222,2,2008,Biscoe,male,50.7,15,223,5550
223,2,2008,Biscoe,female,47.7,15,216,4750
224,2,2008,Biscoe,male,46.4,15.6,221,5000
225,2,2008,Biscoe,male,48.2,15.6,221,5100
226,2,2008,Biscoe,female,46.5,14.8,217,5200
227,2,2008,Biscoe,female,46.4,15,216,4700
228,2,2008,Biscoe,male,48.6,16,230,5800
229,2,2008,Biscoe,female,47.5,14.2,209,4600
230,2,2008,Biscoe,male,51.1,16.3,220,6000
231,2,2008,Biscoe,female,45.2,13.8,215,4750
232,2,2008,Biscoe,male,45.2,16.4,223,5950
233,2,2009,Biscoe,female,49.1,14.5,212,4625
234,2,2009,Biscoe,male,52.5,15.6,221,5450
235,2,2009,Biscoe,female,47.4,14.6,212,4725
236,2,2009,Biscoe,male,50,15.9,224,5350
237,2,2009,Biscoe,female,44.9,13.8,212,4750
238,2,2009,Biscoe,male,50.8,17.3,228,5600
239,2,2009,Biscoe,female,43.4,14.4,218,4600
240,2,2009,Biscoe,male,51.3,14.2,218,5300
241,2,2009,Biscoe,female,47.5,14,212,4875
242,2,2009,Biscoe,male,52.1,17,230,5550
243,2,2009,Biscoe,female,47.5,15,218,4950
244,2,2009,Biscoe,male,52.2,17.1,228,5400
245,2,2009,Biscoe,female,45.5,14.5,212,4750
246,2,2009,Biscoe,male,49.5,16.1,224,5650
247,2,2009,Biscoe,female,44.5,14.7,214,4850
248,2,2009,Biscoe,male,50.8,15.7,226,5200
249,2,2009,Biscoe,male,49.4,15.8,216,4925
250,2,2009,Biscoe,female,46.9,14.6,222,4875
251,2,2009,Biscoe,female,48.4,14.4,203,4625
252,2,2009,Biscoe,male,51.1,16.5,225,5250
253,2,2009,Biscoe,female,48.5,15,219,4850
254,2,2009,Biscoe,male,55.9,17,228,5600
255,2,2009,Biscoe,female,47.2,15.5,215,4975
256,2,2009,Biscoe,male,49.1,15,228,5500
257,2,2009,Biscoe,NA,47.3,13.8,216,4725
258,2,2009,Biscoe,male,46.8,16.1,215,5500
259,2,2009,Biscoe,female,41.7,14.7,210,4700
260,2,2009,Biscoe,male,53.4,15.8,219,5500
261,2,2009,Biscoe,female,43.3,14,208,4575
262,2,2009,Biscoe,male,48.1,15.1,209,5500
263,2,2009,Biscoe,female,50.5,15.2,216,5000
264,2,2009,Biscoe,male,49.8,15.9,229,5950
265,2,2009,Biscoe,female,43.5,15.2,213,4650
266,2,2009,Biscoe,male,51.5,16.3,230,5500
267,2,2009,Biscoe,female,46.2,14.1,217,4375
268,2,2009,Biscoe,male,55.1,16,230,5850
269,2,2009,Biscoe,NA,44.5,15.7,217,4875
270,2,2009,Biscoe,male,48.8,16.2,222,6000
271,2,2009,Biscoe,female,47.2,13.7,214,4925
272,2,2009,Biscoe,NA,NA,NA,NA,NA
273,2,2009,Biscoe,female,46.8,14.3,215,4850
274,2,2009,Biscoe,male,50.4,15.7,222,5750
275,2,2009,Biscoe,female,45.2,14.8,212,5200
276,2,2009,Biscoe,male,49.9,16.1,213,5400
277,3,2007,Dream,female,46.5,17.9,192,3500
278,3,2007,Dream,male,50,19.5,196,3900
279,3,2007,Dream,male,51.3,19.2,193,3650
280,3,2007,Dream,female,45.4,18.7,188,3525
281,3,2007,Dream,male,52.7,19.8,197,3725
282,3,2007,Dream,female,45.2,17.8,198,3950
283,3,2007,Dream,female,46.1,18.2,178,3250
284,3,2007,Dream,male,51.3,18.2,197,3750
285,3,2007,Dream,female,46,18.9,195,4150
286,3,2007,Dream,male,51.3,19.9,198,3700
287,3,2007,Dream,female,46.6,17.8,193,3800
288,3,2007,Dream,male,51.7,20.3,194,3775
289,3,2007,Dream,female,47,17.3,185,3700
290,3,2007,Dream,male,52,18.1,201,4050
291,3,2007,Dream,female,45.9,17.1,190,3575
292,3,2007,Dream,male,50.5,19.6,201,4050
293,3,2007,Dream,male,50.3,20,197,3300
294,3,2007,Dream,female,58,17.8,181,3700
295,3,2007,Dream,female,46.4,18.6,190,3450
296,3,2007,Dream,male,49.2,18.2,195,4400
297,3,2007,Dream,female,42.4,17.3,181,3600
298,3,2007,Dream,male,48.5,17.5,191,3400
299,3,2007,Dream,female,43.2,16.6,187,2900
300,3,2007,Dream,male,50.6,19.4,193,3800
301,3,2007,Dream,female,46.7,17.9,195,3300
302,3,2007,Dream,male,52,19,197,4150
303,3,2008,Dream,female,50.5,18.4,200,3400
304,3,2008,Dream,male,49.5,19,200,3800
305,3,2008,Dream,female,46.4,17.8,191,3700
306,3,2008,Dream,male,52.8,20,205,4550
307,3,2008,Dream,female,40.9,16.6,187,3200
308,3,2008,Dream,male,54.2,20.8,201,4300
309,3,2008,Dream,female,42.5,16.7,187,3350
310,3,2008,Dream,male,51,18.8,203,4100
311,3,2008,Dream,male,49.7,18.6,195,3600
312,3,2008,Dream,female,47.5,16.8,199,3900
313,3,2008,Dream,female,47.6,18.3,195,3850
314,3,2008,Dream,male,52,20.7,210,4800
315,3,2008,Dream,female,46.9,16.6,192,2700
316,3,2008,Dream,male,53.5,19.9,205,4500
317,3,2008,Dream,male,49,19.5,210,3950
318,3,2008,Dream,female,46.2,17.5,187,3650
319,3,2008,Dream,male,50.9,19.1,196,3550
320,3,2008,Dream,female,45.5,17,196,3500
321,3,2009,Dream,female,50.9,17.9,196,3675
322,3,2009,Dream,male,50.8,18.5,201,4450
323,3,2009,Dream,female,50.1,17.9,190,3400
324,3,2009,Dream,male,49,19.6,212,4300
325,3,2009,Dream,male,51.5,18.7,187,3250
326,3,2009,Dream,female,49.8,17.3,198,3675
327,3,2009,Dream,female,48.1,16.4,199,3325
328,3,2009,Dream,male,51.4,19,201,3950
329,3,2009,Dream,female,45.7,17.3,193,3600
330,3,2009,Dream,male,50.7,19.7,203,4050
331,3,2009,Dream,female,42.5,17.3,187,3350
332,3,2009,Dream,male,52.2,18.8,197,3450
333,3,2009,Dream,female,45.2,16.6,191,3250
334,3,2009,Dream,male,49.3,19.9,203,4050
335,3,2009,Dream,male,50.2,18.8,202,3800
336,3,2009,Dream,female,45.6,19.4,194,3525
337,3,2009,Dream,male,51.9,19.5,206,3950
338,3,2009,Dream,female,46.8,16.5,189,3650
339,3,2009,Dream,female,45.7,17,195,3650
340,3,2009,Dream,male,55.8,19.8,207,4000
341,3,2009,Dream,female,43.5,18.1,202,3400
342,3,2009,Dream,male,49.6,18.2,193,3775
343,3,2009,Dream,male,50.8,19,210,4100
344,3,2009,Dream,female,50.2,18.7,198,3775
